"Data Import Template","","","","","","","",""
"Table:","Item","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"Notes:","","","","","","","",""
"Please do not change the template headings.","","","","","","","",""
"First data column must be blank.","","","","","","","",""
"If you are uploading new records, leave the ""name"" (ID) column blank.","","","","","","","",""
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.","","","","","","","",""
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.","","","","","","","",""
"For updating, you can update only selective columns.","","","","","","","",""
"You can only upload upto 5000 records in one go. (may be less in some cases)","","","","","","","",""
"","","","","","","","",""
"DocType:","Item","","","","","","",""
"Column Labels:","Item Code","Item Group","Default Unit of Measure","Maintain Stock","Standard Selling Rate","Is Purchase Item","Last Purchase Rate","Is Sales Item"
"Column Name:","item_code","item_group","stock_uom","is_stock_item","standard_rate","is_purchase_item","last_purchase_rate","is_sales_item"
"Mandatory:","Yes","Yes","Yes","No","No","No","No","No"
"Type:","Data","Link","Link","Check","Currency","Check","Float","Check"
"Info:","","Valid Item Group","Valid UOM","0 or 1","","0 or 1","","0 or 1"
"Start entering data below this line","","","","","","","",""
"","Discovery Library Words (Numbers )","Discovery","Nos","1","0","1","60","1"
